,filt_value,maxdim,mode,random_label_choice,change_data,mean_accuracy,min_accuracy,max_accuracy
0,0,1,link,True,True,0.404,0.296,0.925
1,0,1,link,True,False,0.41,0.291,0.962
2,0,1,link,False,True,0.373,0.212,0.925
3,0,1,link,False,False,0.373,0.212,0.925
4,0,1,star,True,True,0.417,0.313,0.95
5,0,1,star,True,False,0.409,0.309,0.938
6,0,1,star,False,True,0.373,0.212,0.925
7,0,1,star,False,False,0.373,0.212,0.925
8,1,1,link,True,True,0.409,0.301,0.938
9,1,1,link,True,False,0.412,0.314,0.962
10,1,1,link,False,True,0.374,0.214,0.925
11,1,1,link,False,False,0.374,0.214,0.925
12,1,1,star,True,True,0.416,0.263,0.95
13,1,1,star,True,False,0.409,0.287,0.95
14,1,1,star,False,True,0.374,0.214,0.925
15,1,1,star,False,False,0.374,0.214,0.925
16,2,1,link,True,True,0.403,0.291,0.925
17,2,1,link,True,False,0.406,0.312,0.95
18,2,1,link,False,True,0.386,0.218,0.925
19,2,1,link,False,False,0.382,0.216,0.925
20,2,1,star,True,True,0.405,0.259,0.95
21,2,1,star,True,False,0.423,0.328,0.925
22,2,1,star,False,True,0.387,0.218,0.925
23,2,1,star,False,False,0.382,0.216,0.925
24,3,1,link,True,True,0.438,0.271,0.95
25,3,1,link,True,False,0.429,0.331,0.925
26,3,1,link,False,True,0.405,0.238,0.925
27,3,1,link,False,False,0.404,0.246,0.925
28,3,1,star,True,True,0.428,0.32,0.938
29,3,1,star,True,False,0.427,0.323,0.962
30,3,1,star,False,True,0.405,0.235,0.925
31,3,1,star,False,False,0.403,0.242,0.925
32,4,1,link,True,True,0.475,0.303,0.95
33,4,1,link,True,False,0.46,0.346,0.95
34,4,1,link,False,True,0.455,0.23,0.9
35,4,1,link,False,False,0.441,0.246,0.912
36,4,1,star,True,True,0.504,0.358,0.95
37,4,1,star,True,False,0.472,0.349,0.988
38,4,1,star,False,True,0.46,0.235,0.938
39,4,1,star,False,False,0.442,0.244,0.938
40,5,1,link,True,True,0.534,0.424,0.912
41,5,1,link,True,False,0.504,0.374,0.962
42,5,1,link,False,True,0.502,0.333,0.912
43,5,1,link,False,False,0.478,0.271,0.912
44,5,1,star,True,True,0.527,0.308,0.95
45,5,1,star,True,False,0.505,0.351,0.975
46,5,1,star,False,True,0.499,0.319,0.95
47,5,1,star,False,False,0.475,0.26,0.95
48,6,1,link,True,True,0.594,0.475,0.975
49,6,1,link,True,False,0.536,0.408,0.95
50,6,1,link,False,True,0.557,0.416,0.962
51,6,1,link,False,False,0.512,0.305,0.938
52,6,1,star,True,True,0.594,0.437,1.0
53,6,1,star,True,False,0.535,0.383,0.988
54,6,1,star,False,True,0.556,0.415,1.0
55,6,1,star,False,False,0.512,0.301,0.975
56,7,1,link,True,True,0.596,0.459,0.962
57,7,1,link,True,False,0.561,0.421,0.975
58,7,1,link,False,True,0.578,0.451,0.95
59,7,1,link,False,False,0.544,0.333,0.938
60,7,1,star,True,True,0.599,0.499,1.0
61,7,1,star,True,False,0.569,0.419,1.0
62,7,1,star,False,True,0.584,0.431,1.0
63,7,1,star,False,False,0.546,0.323,0.988
64,8,1,link,True,True,0.618,0.477,0.95
65,8,1,link,True,False,0.592,0.449,0.95
66,8,1,link,False,True,0.593,0.438,0.938
67,8,1,link,False,False,0.571,0.39,0.95
68,8,1,star,True,True,0.64,0.467,1.0
69,8,1,star,True,False,0.586,0.456,1.0
70,8,1,star,False,True,0.593,0.38,1.0
71,8,1,star,False,False,0.574,0.387,1.0
72,9,1,link,True,True,0.614,0.437,0.938
73,9,1,link,True,False,0.6,0.472,0.925
74,9,1,link,False,True,0.608,0.399,0.925
